source_mat_id_orig,samp_description,samp_collect_device,tax_id,scientific_name,investigation_type,env_material,deployment_date,collection_date,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,arms_unit_id,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,rep_check,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
NR_2 - 03/01/22_MF500_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-03 collected on IUIEIlat_NR2_Ha_201227_220103. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2020-12-27 00:00:00,2022-01-03 00:00:00,IUIEIlat_NR2_Ha_201227_220103,N,DESS,,,10,NR2,1,MF,500,,ARMS Handbook v3.0,,2022-01-03 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_11
NR_2 - 03/01/22_MF500_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-03 collected on IUIEIlat_NR2_Ha_201227_220103. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2020-12-27 00:00:00,2022-01-03 00:00:00,IUIEIlat_NR2_Ha_201227_220103,N,DESS,,,10,NR2,2,MF,500,,ARMS Handbook v3.0,,2022-01-03 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_12
NR_3 - 05/01/22_SF_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-05 collected on IUIEIlat_NR3_Ha_201227_220105. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2020-12-27 00:00:00,2022-01-05 00:00:00,IUIEIlat_NR3_Ha_201227_220105,N,DESS,,,10,NR3,1,SF,,,ARMS Handbook v3.0,,2022-01-05 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_13
NR_3 - 05/01/22_SF_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-05 collected on IUIEIlat_NR3_Ha_201227_220105. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2020-12-27 00:00:00,2022-01-05 00:00:00,IUIEIlat_NR3_Ha_201227_220105,N,DESS,,,10,NR3,2,SF,,,ARMS Handbook v3.0,,2022-01-05 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_14
NR_3 - 05/01/22_MF100_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-05 collected on IUIEIlat_NR3_Ha_201227_220105. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2020-12-27 00:00:00,2022-01-05 00:00:00,IUIEIlat_NR3_Ha_201227_220105,N,DESS,,,10,NR3,1,MF,100,,ARMS Handbook v3.0,,2022-01-05 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_15
NR_3 - 05/01/22_MF100_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-05 collected on IUIEIlat_NR3_Ha_201227_220105. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2020-12-27 00:00:00,2022-01-05 00:00:00,IUIEIlat_NR3_Ha_201227_220105,N,DESS,,,10,NR3,2,MF,100,,ARMS Handbook v3.0,,2022-01-05 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_16
NR_3 - 05/01/22_MF500_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-05 collected on IUIEIlat_NR3_Ha_201227_220105. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2020-12-27 00:00:00,2022-01-05 00:00:00,IUIEIlat_NR3_Ha_201227_220105,N,DESS,,,10,NR3,1,MF,500,,ARMS Handbook v3.0,,2022-01-05 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_17
NR_3 - 05/01/22_MF500_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-05 collected on IUIEIlat_NR3_Ha_201227_220105. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2020-12-27 00:00:00,2022-01-05 00:00:00,IUIEIlat_NR3_Ha_201227_220105,N,DESS,,,10,NR3,2,MF,500,,ARMS Handbook v3.0,,2022-01-05 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_18
Katza_1- 13/03/22_SF_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-13 collected on IUIEIlat_Katza1_Ha_210322_220313. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-03-22 00:00:00,2022-03-13 00:00:00,IUIEIlat_Katza1_Ha_210322_220313,N,DESS,,,10,Katza1,1,SF,,,ARMS Handbook v3.0,,2022-03-13 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_19
Katza_1- 13/03/22_SF_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-13 collected on IUIEIlat_Katza1_Ha_210322_220313. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-03-22 00:00:00,2022-03-13 00:00:00,IUIEIlat_Katza1_Ha_210322_220313,N,DESS,,,10,Katza1,2,SF,,,ARMS Handbook v3.0,,2022-03-13 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_20
Katza_1- 13/03/22_MF100_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-13 collected on IUIEIlat_Katza1_Ha_210322_220313. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-03-22 00:00:00,2022-03-13 00:00:00,IUIEIlat_Katza1_Ha_210322_220313,N,DESS,,,10,Katza1,1,MF,100,,ARMS Handbook v3.0,,2022-03-13 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_21
Katza_1- 13/03/22_MF100_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-13 collected on IUIEIlat_Katza1_Ha_210322_220313. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-03-22 00:00:00,2022-03-13 00:00:00,IUIEIlat_Katza1_Ha_210322_220313,N,DESS,,,10,Katza1,2,MF,100,,ARMS Handbook v3.0,,2022-03-13 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_22
Katza_1- 13/03/22_MF500_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-13 collected on IUIEIlat_Katza1_Ha_210322_220313. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-03-22 00:00:00,2022-03-13 00:00:00,IUIEIlat_Katza1_Ha_210322_220313,N,DESS,,,10,Katza1,1,MF,500,,ARMS Handbook v3.0,,2022-03-13 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_23
Katza_1- 13/03/22_MF500_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-13 collected on IUIEIlat_Katza1_Ha_210322_220313. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-03-22 00:00:00,2022-03-13 00:00:00,IUIEIlat_Katza1_Ha_210322_220313,N,DESS,,,10,Katza1,2,MF,500,,ARMS Handbook v3.0,,2022-03-13 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_24
Katza_2- 22/03/22_SF_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-22 collected on IUIEIlat_Katza2_Ha_210322_220322. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-03-22 00:00:00,2022-03-22 00:00:00,IUIEIlat_Katza2_Ha_210322_220322,N,DESS,,,10,Katza2,1,SF,,,ARMS Handbook v3.0,,2022-03-22 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_25
Katza_2- 22/03/22_SF_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-22 collected on IUIEIlat_Katza2_Ha_210322_220322. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-03-22 00:00:00,2022-03-22 00:00:00,IUIEIlat_Katza2_Ha_210322_220322,N,DESS,,,10,Katza2,2,SF,,,ARMS Handbook v3.0,,2022-03-22 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_26
Katza_2- 22/03/22_MF100_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-22 collected on IUIEIlat_Katza2_Ha_210322_220322. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-03-22 00:00:00,2022-03-22 00:00:00,IUIEIlat_Katza2_Ha_210322_220322,N,DESS,,,10,Katza2,1,MF,100,,ARMS Handbook v3.0,,2022-03-22 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_27
Katza_2- 22/03/22_MF100_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-22 collected on IUIEIlat_Katza2_Ha_210322_220322. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-03-22 00:00:00,2022-03-22 00:00:00,IUIEIlat_Katza2_Ha_210322_220322,N,DESS,,,10,Katza2,2,MF,100,,ARMS Handbook v3.0,,2022-03-22 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_28
Katza_2- 22/03/22_MF500_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-22 collected on IUIEIlat_Katza2_Ha_210322_220322. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-03-22 00:00:00,2022-03-22 00:00:00,IUIEIlat_Katza2_Ha_210322_220322,N,DESS,,,10,Katza2,1,MF,500,,ARMS Handbook v3.0,,2022-03-22 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_29
Katza_2- 22/03/22_MF500_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-22 collected on IUIEIlat_Katza2_Ha_210322_220322. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-03-22 00:00:00,2022-03-22 00:00:00,IUIEIlat_Katza2_Ha_210322_220322,N,DESS,,,10,Katza2,2,MF,500,,ARMS Handbook v3.0,,2022-03-22 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_30
Katza_3- 25/03/22_SF_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-25 collected on IUIEIlat_Katza3_Ha_210322_220325. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-03-22 00:00:00,2022-03-25 00:00:00,IUIEIlat_Katza3_Ha_210322_220325,N,DESS,,,10,Katza3,1,SF,,,ARMS Handbook v3.0,,2022-03-25 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_31
Katza_3- 25/03/22_SF_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-25 collected on IUIEIlat_Katza3_Ha_210322_220325. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2021-03-22 00:00:00,2022-03-25 00:00:00,IUIEIlat_Katza3_Ha_210322_220325,N,DESS,,,10,Katza3,2,SF,,,ARMS Handbook v3.0,,2022-03-25 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_32
Katza_3- 25/03/22_MF100_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-25 collected on IUIEIlat_Katza3_Ha_210322_220325. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-03-22 00:00:00,2022-03-25 00:00:00,IUIEIlat_Katza3_Ha_210322_220325,N,DESS,,,10,Katza3,1,MF,100,,ARMS Handbook v3.0,,2022-03-25 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_33
Katza_3- 25/03/22_MF100_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-25 collected on IUIEIlat_Katza3_Ha_210322_220325. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2021-03-22 00:00:00,2022-03-25 00:00:00,IUIEIlat_Katza3_Ha_210322_220325,N,DESS,,,10,Katza3,2,MF,100,,ARMS Handbook v3.0,,2022-03-25 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_34
Katza_3- 25/03/22_MF500_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-25 collected on IUIEIlat_Katza3_Ha_210322_220325. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-03-22 00:00:00,2022-03-25 00:00:00,IUIEIlat_Katza3_Ha_210322_220325,N,DESS,,,10,Katza3,1,MF,500,,ARMS Handbook v3.0,,2022-03-25 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_35
Katza_3- 25/03/22_MF500_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-03-25 collected on IUIEIlat_Katza3_Ha_210322_220325. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2021-03-22 00:00:00,2022-03-25 00:00:00,IUIEIlat_Katza3_Ha_210322_220325,N,DESS,,,10,Katza3,2,MF,500,,ARMS Handbook v3.0,,2022-03-25 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_36
