source_mat_id_orig,samp_description,samp_collect_device,tax_id,scientific_name,investigation_type,env_material,deployment_date,collection_date,sampling_event,crate_cover,preservative,sampl_person,sampl_person_orcid,depth,arms_unit_id,replicate,samp_fraction,size_filter,noteworthy_env_cond,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,images_in_PlutoF,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,rep_check,seq_batch,failure,failure_comment,ENA_accession_number_sample,source_mat_id
NR_1 - 29/12/21_SF_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2021-12-29 collected on IUIEIlat_NR1_Ha_201227_211229. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2020-12-27 00:00:00,2021-12-29 00:00:00,IUIEIlat_NR1_Ha_201227_211229,N,DESS,,,10,NR1,1,SF,,,ARMS Handbook v3.0,,2021-12-29 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_1
NR_1 - 29/12/21_SF_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2021-12-29 collected on IUIEIlat_NR1_Ha_201227_211229. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2020-12-27 00:00:00,2021-12-29 00:00:00,IUIEIlat_NR1_Ha_201227_211229,N,DESS,,,10,NR1,2,SF,,,ARMS Handbook v3.0,,2021-12-29 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_2
NR_1 - 29/12/21_MF100_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2021-12-29 collected on IUIEIlat_NR1_Ha_201227_211229. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2020-12-27 00:00:00,2021-12-29 00:00:00,IUIEIlat_NR1_Ha_201227_211229,N,DESS,,,10,NR1,1,MF,100,,ARMS Handbook v3.0,,2021-12-29 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_3
NR_1 - 29/12/21_MF100_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2021-12-29 collected on IUIEIlat_NR1_Ha_201227_211229. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2020-12-27 00:00:00,2021-12-29 00:00:00,IUIEIlat_NR1_Ha_201227_211229,N,DESS,,,10,NR1,2,MF,100,,ARMS Handbook v3.0,,2021-12-29 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_4
NR_1 - 29/12/21_MF500_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2021-12-29 collected on IUIEIlat_NR1_Ha_201227_211229. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2020-12-27 00:00:00,2021-12-29 00:00:00,IUIEIlat_NR1_Ha_201227_211229,N,DESS,,,10,NR1,1,MF,500,,ARMS Handbook v3.0,,2021-12-29 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_5
NR_1 - 29/12/21_MF500_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2021-12-29 collected on IUIEIlat_NR1_Ha_201227_211229. Size fraction MF500um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 500 micrometre mesh [ENVO:01001901],2020-12-27 00:00:00,2021-12-29 00:00:00,IUIEIlat_NR1_Ha_201227_211229,N,DESS,,,10,NR1,2,MF,500,,ARMS Handbook v3.0,,2021-12-29 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_6
NR_2 - 03/01/22_SF_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-03 collected on IUIEIlat_NR2_Ha_201227_220103. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2020-12-27 00:00:00,2022-01-03 00:00:00,IUIEIlat_NR2_Ha_201227_220103,N,DESS,,,10,NR2,1,SF,,,ARMS Handbook v3.0,,2022-01-03 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_7
NR_2 - 03/01/22_SF_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-03 collected on IUIEIlat_NR2_Ha_201227_220103. Size fraction SFum,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,blended biomass derived from sessile communities colonising an autonomous reef monitoring structure [ENVO:01001863],2020-12-27 00:00:00,2022-01-03 00:00:00,IUIEIlat_NR2_Ha_201227_220103,N,DESS,,,10,NR2,2,SF,,,ARMS Handbook v3.0,,2022-01-03 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_8
NR_2 - 03/01/22_MF100_rep1,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-03 collected on IUIEIlat_NR2_Ha_201227_220103. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2020-12-27 00:00:00,2022-01-03 00:00:00,IUIEIlat_NR2_Ha_201227_220103,N,DESS,,,10,NR2,1,MF,100,,ARMS Handbook v3.0,,2022-01-03 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_9
NR_2 - 03/01/22_MF100_rep2,EMOBON metagenome  sample from station IUIEilat1. ARMS deployed on 2022-01-03 collected on IUIEIlat_NR2_Ha_201227_220103. Size fraction MF100um,autonomous reef monitoring structure [ENVO:01001855],256318,metagenome,metagenome,biomass derived from sieving motile communities present in the retrieval tub of an autonomous reef monitoring structure through a 100 micrometre mesh [ENVO:01001900],2020-12-27 00:00:00,2022-01-03 00:00:00,IUIEIlat_NR2_Ha_201227_220103,N,DESS,,,10,NR2,2,MF,100,,ARMS Handbook v3.0,,2022-01-03 00:00:00,,,,,,,No,N,2022-11-30 00:00:00,2023-01-02 00:00:00,-20,2023-07-18 00:00:00,2023-07-18 00:00:00,,batch_3.2,,,,EMOBON_IUIEilat_Ha_10
